,descriptor,group,stat,p,m,table,score,metric
0,Product group,PSL,59.250473269276675,1.388269458925858e-14,0.0,"[[  23  482]
 [  34 4721]]",1.4782608695652173,Uptime
1,Line,E28,84.87946620996065,3.1711942725876044e-20,0.0,"[[  33  472]
 [  50 4705]]",1.5151515151515151,Uptime
2,Line,E26,82.63692241602801,9.859799392139627e-20,0.0,"[[  72  433]
 [ 214 4541]]",2.9722222222222223,Uptime
3,Product group,Shrink Sleeve,44.3038482364874,2.8116297319754608e-11,0.0,"[[ 237  268]
 [1527 3228]]",6.443037974683543,Uptime
4,Product group,Cards Core,7.527795276159209,0.006075421276824312,0.0,"[[  81  424]
 [ 558 4197]]",6.888888888888888,Uptime
5,Line,E27,7.454471812873617,0.006327904427246087,0.0,"[[  90  415]
 [ 633 4122]]",7.033333333333332,Uptime
6,Product group,Tape,7.054053412931991,0.007908608936153434,0.0,"[[  29  476]
 [ 448 4307]]",15.448275862068966,Uptime
7,Line,K17,7.511045746236727,0.006132175836552615,0.0,"[[  28  477]
 [ 443 4312]]",15.821428571428573,Uptime
8,Product group,Cards Overlay,8.034121466152625,0.004590426914443197,0.0,"[[  19  486]
 [ 344 4411]]",18.105263157894736,Uptime
9,Product group,Dec. Surfaces/others,49.11301069291874,2.4163216147328045e-12,0.0,"[[  75  430]
 [1414 3341]]",18.853333333333328,Uptime
10,Line,K40,51.80644704894208,6.125036010195517e-13,0.0,"[[  59  446]
 [1254 3501]]",21.25423728813559,Uptime
11,Product group,PSL,51.697483621263245,6.474567863093634e-13,1151.6129032258063,"[[   1 2629]
 [  56 2575]]",-56.0,Rate
12,Line,E28,74.44605412475694,6.231811669090756e-18,1151.6129032258063,"[[   2 2628]
 [  81 2550]]",-40.5,Rate
13,Product group,Cards Overlay,235.1952684092912,4.389295825138521e-53,1151.6129032258063,"[[  40 2590]
 [ 323 2308]]",-8.075,Rate
14,Product group,Dec. Surfaces/others,734.8384474019948,7.94536253248533e-162,1151.6129032258063,"[[ 301 2329]
 [1188 1443]]",-3.946843853820598,Rate
15,Line,E26,89.62435485362299,2.8795737699909727e-21,1151.6129032258063,"[[  65 2565]
 [ 222 2409]]",-3.4153846153846152,Rate
16,Line,K40,444.4418111238527,1.1688205164774914e-98,1151.6129032258063,"[[ 325 2305]
 [ 988 1643]]",-3.04,Rate
17,Product group,Cards Core,135.57304694342943,2.4739671106979703e-31,1151.6129032258063,"[[ 181 2449]
 [ 458 2173]]",-2.530386740331492,Rate
18,Line,K10,146.286705749639,1.1237336961831812e-33,1151.6129032258063,"[[ 198 2432]
 [ 496 2135]]",-2.5050505050505047,Rate
19,Line,K18,24.734780001751016,6.578624486869668e-07,1151.6129032258063,"[[ 431 2199]
 [ 574 2057]]",-1.3317865429234337,Rate
20,Product group,Shrink Sleeve,703.4686493935228,5.26533724725047e-155,1151.6129032258063,"[[1337 1293]
 [ 428 2203]]",3.1238317757009346,Rate
21,Product group,Tape,186.0684332948395,2.2937880944884766e-42,1151.6129032258063,"[[ 381 2249]
 [  96 2535]]",3.96875,Rate
22,Line,K17,196.2347859183386,1.3852370424617007e-44,1151.6129032258063,"[[ 381 2249]
 [  90 2541]]",4.233333333333333,Rate
23,Product group,Other Technical,6.88920493651221,0.008671783009277434,1151.6129032258063,"[[  17 2613]
 [   4 2627]]",4.25,Rate
24,Product group,Construction,129.98145444784893,4.1362416475831424e-30,1151.6129032258063,"[[ 247 2383]
 [  54 2577]]",4.574074074074074,Rate
25,Line,K06,370.96081466004836,1.1561007867562698e-82,1151.6129032258063,"[[ 578 2052]
 [ 107 2524]]",5.4018691588785055,Rate
26,Line,E27,532.2524940620198,9.139206187922656e-118,1151.6129032258063,"[[ 650 1980]
 [  73 2558]]",8.904109589041097,Rate
27,Product group,Cooling Tower,88.32159892304908,5.563266495309847e-21,1151.6129032258063,"[[ 117 2513]
 [  11 2620]]",10.636363636363637,Rate
28,Product group,PSL,47.93860031100014,4.3977764446503764e-12,0.9717551643054642,"[[   2 2626]
 [  55 2574]]",-27.5,Yield
29,Line,E28,38.36759773530503,5.859729213682732e-10,0.9717551643054642,"[[  13 2615]
 [  70 2559]]",-5.384615384615384,Yield
30,Line,E26,74.25785339292983,6.855156241177184e-18,0.9717551643054642,"[[  72 2556]
 [ 215 2414]]",-2.986111111111111,Yield
31,Product group,Cards Core,123.27640011317443,1.2131534481863779e-28,0.9717551643054642,"[[ 187 2441]
 [ 451 2178]]",-2.4117647058823533,Yield
32,Line,K40,190.20948175793706,2.861579591906701e-43,0.9717551643054642,"[[ 439 2189]
 [ 873 1756]]",-1.988610478359909,Yield
33,Line,K10,74.60888966443216,5.738422738247986e-18,0.9717551643054642,"[[ 240 2388]
 [ 453 2176]]",-1.8875,Yield
34,Product group,Dec. Surfaces/others,177.14221459447361,2.0390030422558167e-40,0.9717551643054642,"[[ 526 2102]
 [ 962 1667]]",-1.8288973384030416,Yield
35,Product group,Tape,10.689755604276655,0.0010773043720781672,0.9717551643054642,"[[ 273 2355]
 [ 204 2425]]",1.338235294117647,Yield
36,Line,K17,12.801440171548517,0.0003463526247032687,0.9717551643054642,"[[ 273 2355]
 [ 198 2431]]",1.3787878787878791,Yield
37,Line,K06,25.037332954800977,5.623094713130228e-07,0.9717551643054642,"[[ 404 2224]
 [ 281 2348]]",1.4377224199288257,Yield
38,Product group,Cards Overlay,29.63240926388196,5.222441228144694e-08,0.9717551643054642,"[[ 232 2396]
 [ 131 2498]]",1.7709923664122138,Yield
39,Product group,Shrink Sleeve,290.32051041567837,4.233700458653408e-65,0.9717551643054642,"[[1174 1454]
 [ 590 2039]]",1.989830508474576,Yield
40,Line,E27,599.6545645917977,1.9903709212579797e-132,0.9717551643054642,"[[ 667 1961]
 [  55 2574]]",12.127272727272727,Yield
